name,code,pop
Albania,ALB,7.33
Austria,AUT,39.22
Bosnia and Herzegovina,BIH,7.79
Belgium,BEL,34.18
Bulgaria,BGR,11.29
Switzerland,CHE,49.33
Cyprus,CYP,25.23
Czech Republic,CZE,25.79
Germany,DEU,38.84
Denmark,DNK,48.53
Estonia,EST,37.03
Greece,GRC,23.32
Spain,ESP,36.09
Finland,FIN,50.07
France,FRA,30.92
Croatia,HRV,35.34
Hungary,HUN,25.36
Ireland,IRL,34.14
Iceland,ISL,61.57
Italy,ITA,22.02
Lithuania,LTU,32.30
Luxembourg,LUX,35.76
Latvia,LVA,24.45
North Macedonia,MKD,15.07
Malta,MLT,38.25
Netherlands,NLD,49.56
Norway,NOR,51.09
Poland,POL,21.29
Portugal,PRT,32.10
Romania,ROU,10.33
Serbia,SRB,19.83
Sweden,SWE,46.04
Slovenia,SVN,31.07
Slovakia,SVK,27.07
Turkey,TUR,24.31
United Kingdom,GBR,48.85
